method,attribute,avg,std,mse,kappa
aspect_summary,imsc,2.398,1.108,0.85,0.677
aspect_summary,info,2.033,1.03,0.616,0.684
aspect_summary,novo,1.912,1.063,0.744,0.625
aspect_summary,relv,3.146,1.238,0.913,0.684
direct_summary,imsc,2.408,1.1,0.906,0.654
direct_summary,info,2.088,1.024,0.686,0.651
direct_summary,novo,1.974,1.074,0.8,0.6
direct_summary,relv,3.237,1.162,0.953,0.65
human,imsc,2.292,1.179,,
human,info,1.876,0.932,,
human,novo,2.022,0.916,,
human,relv,3.044,1.158,,
llm,imsc,2.274,1.104,0.821,0.686
llm,info,1.985,1.025,0.548,0.716
llm,novo,1.912,1.046,0.73,0.624
llm,relv,3.102,1.228,0.971,0.66
memory_summary,imsc,2.343,1.084,0.847,0.671
memory_summary,info,2.01,1.016,0.595,0.69
memory_summary,novo,1.916,1.072,0.785,0.607
memory_summary,relv,3.146,1.241,0.956,0.671
no_summary,imsc,2.449,1.094,0.916,0.649
no_summary,info,2.256,1.156,1.044,0.556
no_summary,novo,2.31,1.182,1.178,0.492
no_summary,relv,3.157,1.244,1.018,0.649
prior_summary,imsc,2.464,1.13,0.952,0.647
prior_summary,info,2.092,1.054,0.756,0.628
prior_summary,novo,1.993,1.096,0.854,0.582
prior_summary,relv,3.197,1.204,1.088,0.613
