method,attribute,mse_mean,mse_std,kappa_mean,kappa_std
aspect_summary,implication_scope,0.236,0.32,0.888,0.132
aspect_summary,informativeness,0.282,0.308,0.816,0.195
aspect_summary,novelty,0.297,0.289,0.801,0.193
aspect_summary,relevance,0.628,0.968,0.636,0.398
direct_summary,implication_scope,0.228,0.294,0.89,0.13
direct_summary,informativeness,0.259,0.255,0.84,0.161
direct_summary,novelty,0.3,0.303,0.824,0.166
direct_summary,relevance,0.588,0.997,0.67,0.38
memory_summary,implication_scope,0.221,0.347,0.893,0.153
memory_summary,informativeness,0.312,0.305,0.801,0.178
memory_summary,novelty,0.337,0.3,0.769,0.217
memory_summary,relevance,0.647,1.095,0.654,0.382
no_summary,implication_scope,0.261,0.329,0.875,0.166
no_summary,informativeness,0.436,0.378,0.791,0.16
no_summary,novelty,0.604,0.541,0.733,0.202
no_summary,relevance,0.619,0.914,0.644,0.382
prior_summary,implication_scope,0.224,0.297,0.893,0.132
prior_summary,informativeness,0.269,0.253,0.838,0.156
prior_summary,novelty,0.334,0.326,0.806,0.195
prior_summary,relevance,0.596,0.912,0.649,0.385
