corpus,conv_id,utterance_id,aspect,n_raters,y_hard,w_conf,p1,p2,p3,p4,y_cont,lo,hi,mask_t1,mask_t2,mask_t3
insq,insq_2228,2243,CIG,5,3,0.23903595253642673,0.0,0.2,0.4,0.4,3.2,2,4,1,0,0
insq,insq_2228,2244,CIG,5,2,0.5145247027323308,0.4,0.6,0.0,0.0,1.6,1,2,0,1,1
insq,insq_2228,2246,CIG,5,2,0.6390359525157349,0.2,0.8,0.0,0.0,1.8,1,2,0,1,1
insq,insq_2228,2247,CIG,5,1,0.5145247027323308,0.6,0.4,0.0,0.0,1.4,1,2,0,1,1
insq,insq_2228,2248,CIG,5,2,0.31452470275269817,0.0,0.6,0.2,0.2,2.6,2,4,1,0,0
insq,insq_2228,2249,CIG,5,2,0.31452470275269817,0.2,0.6,0.2,0.0,2.0,1,3,0,0,1
insq,insq_2228,2251,CIG,5,3,0.31452470275269817,0.0,0.2,0.6,0.2,3.0,2,4,1,0,0
insq,insq_2228,2252,CIG,5,3,0.5145247027323308,0.0,0.4,0.6,0.0,2.5999999999999996,2,3,1,0,1
insq,insq_2228,2253,CIG,5,2,0.31452470275269817,0.2,0.6,0.2,0.0,2.0,1,3,0,0,1
insq,insq_2228,2254,CIG,5,4,0.6390359525157349,0.0,0.0,0.2,0.8,3.8000000000000003,3,4,1,1,0
insq,insq_2228,2306,CIG,5,2,0.31452470275269817,0.2,0.6,0.2,0.0,2.0,1,3,0,0,1
insq,insq_2228,2308,CIG,5,2,0.31452470275269817,0.2,0.6,0.2,0.0,2.0,1,3,0,0,1
insq,insq_2228,2310,CIG,5,3,0.31452470275269817,0.0,0.2,0.6,0.2,3.0,2,4,1,0,0
insq,insq_2228,2312,CIG,5,4,0.31452470275269817,0.0,0.2,0.2,0.6,3.4,2,4,1,0,0
insq,insq_2228,2314,CIG,5,2,0.23903595253642673,0.4,0.4,0.2,0.0,1.8,1,3,0,0,1
insq,insq_2228,2316,CIG,5,2,0.5145247027323308,0.0,0.6,0.4,0.0,2.4000000000000004,2,3,1,0,1
insq,insq_2228,2318,CIG,5,4,0.6390359525157349,0.0,0.0,0.2,0.8,3.8000000000000003,3,4,1,1,0
insq,insq_2228,2365,CIG,5,2,0.31452470275269817,0.2,0.6,0.2,0.0,2.0,1,3,0,0,1
insq,insq_2228,2366,CIG,5,3,0.5145247027323308,0.0,0.4,0.6,0.0,2.5999999999999996,2,3,1,0,1
insq,insq_2228,2369,CIG,5,3,0.23903595253642673,0.0,0.4,0.4,0.2,2.8000000000000003,2,4,1,0,0
insq,insq_2228,2374,CIG,5,2,0.5145247027323308,0.4,0.6,0.0,0.0,1.6,1,2,0,1,1
insq,insq_2228,2375,CIG,5,1,0.5145247027323308,0.6,0.4,0.0,0.0,1.4,1,2,0,1,1
insq,insq_2228,2377,CIG,5,2,0.5145247027323308,0.0,0.6,0.4,0.0,2.4000000000000004,2,3,1,0,1
insq,insq_2228,2379,CIG,5,4,0.9999999999380412,0.0,0.0,0.0,1.0,4.0,4,4,1,1,1
insq,insq_2228,2381,CIG,5,4,0.6390359525157349,0.0,0.0,0.2,0.8,3.8000000000000003,3,4,1,1,0
insq,insq_2228,2383,CIG,5,4,0.31452470275269817,0.0,0.2,0.2,0.6,3.4,2,4,1,0,0
insq,insq_2228,2243,Novelty,5,3,0.639035952515735,0.0,0.0,0.8,0.2,3.2,3,4,1,1,0
insq,insq_2228,2243,Relevance,5,4,0.31452470275269817,0.2,0.0,0.2,0.6,3.2,1,4,0,0,0
insq,insq_2228,2243,Scope,5,3,0.23903595253642673,0.0,0.2,0.4,0.4,3.2,2,4,1,0,0
insq,insq_2228,2244,Novelty,5,2,0.23903595253642695,0.2,0.4,0.4,0.0,2.2,1,3,0,0,1
insq,insq_2228,2244,Relevance,5,3,0.31452470275269817,0.0,0.2,0.6,0.2,3.0,2,4,1,0,0
insq,insq_2228,2244,Scope,5,2,0.23903595253642673,0.4,0.4,0.2,0.0,1.8,1,3,0,0,1
insq,insq_2228,2246,Novelty,5,2,0.23903595253642695,0.2,0.4,0.4,0.0,2.2,1,3,0,0,1
insq,insq_2228,2246,Relevance,5,2,0.039035952556318754,0.2,0.4,0.2,0.2,2.4000000000000004,1,4,0,0,0
insq,insq_2228,2246,Scope,5,2,0.039035952556318754,0.2,0.4,0.2,0.2,2.4000000000000004,1,4,0,0,0
insq,insq_2228,2247,Novelty,5,1,0.6390359525157349,0.8,0.2,0.0,0.0,1.2000000000000002,1,2,0,1,1
insq,insq_2228,2247,Relevance,5,1,0.999999999938041,1.0,0.0,0.0,0.0,1.0,1,1,1,1,1
insq,insq_2228,2247,Scope,5,1,0.999999999938041,1.0,0.0,0.0,0.0,1.0,1,1,1,1,1
insq,insq_2228,2248,Novelty,5,2,0.5145247027323308,0.4,0.6,0.0,0.0,1.6,1,2,0,1,1
insq,insq_2228,2248,Relevance,5,3,0.6390359525157349,0.0,0.2,0.8,0.0,2.8000000000000003,2,3,1,0,1
insq,insq_2228,2248,Scope,5,3,0.5145247027323308,0.0,0.0,0.6,0.4,3.4,3,4,1,1,0
insq,insq_2228,2249,Novelty,5,2,0.999999999938041,0.0,1.0,0.0,0.0,2.0,2,2,1,1,1
insq,insq_2228,2249,Relevance,5,2,0.5145247027323308,0.0,0.6,0.4,0.0,2.4000000000000004,2,3,1,0,1
insq,insq_2228,2249,Scope,5,2,0.23903595253642695,0.4,0.2,0.4,0.0,2.0,1,3,0,0,1
insq,insq_2228,2251,Novelty,5,2,0.31452470275269817,0.0,0.6,0.2,0.2,2.6,2,4,1,0,0
insq,insq_2228,2251,Relevance,5,3,0.5145247027323308,0.0,0.0,0.6,0.4,3.4,3,4,1,1,0
insq,insq_2228,2251,Scope,5,2,0.5145247027323308,0.0,0.6,0.0,0.4,2.8,2,4,1,0,0
insq,insq_2228,2252,Novelty,5,3,0.639035952515735,0.0,0.0,0.8,0.2,3.2,3,4,1,1,0
insq,insq_2228,2252,Relevance,5,3,0.23903595253642673,0.0,0.2,0.4,0.4,3.2,2,4,1,0,0
insq,insq_2228,2252,Scope,5,2,0.6390359525157349,0.0,0.8,0.2,0.0,2.2,2,3,1,0,1
insq,insq_2228,2253,Novelty,5,2,0.23903595253642695,0.2,0.4,0.4,0.0,2.2,1,3,0,0,1
insq,insq_2228,2253,Relevance,5,2,0.5145247027323308,0.0,0.6,0.4,0.0,2.4000000000000004,2,3,1,0,1
insq,insq_2228,2253,Scope,5,2,0.6390359525157349,0.2,0.8,0.0,0.0,1.8,1,2,0,1,1
insq,insq_2228,2254,Novelty,5,3,0.639035952515735,0.0,0.0,0.8,0.2,3.2,3,4,1,1,0
insq,insq_2228,2254,Relevance,5,4,0.5145247027323308,0.0,0.0,0.4,0.6,3.6,3,4,1,1,0
insq,insq_2228,2254,Scope,5,4,0.31452470275269817,0.0,0.2,0.2,0.6,3.4,2,4,1,0,0
insq,insq_2228,2306,Novelty,5,3,0.6390359525157349,0.0,0.2,0.8,0.0,2.8000000000000003,2,3,1,0,1
insq,insq_2228,2306,Relevance,5,3,0.6390359525157349,0.0,0.2,0.8,0.0,2.8000000000000003,2,3,1,0,1
insq,insq_2228,2306,Scope,5,3,0.31452470275269817,0.0,0.2,0.6,0.2,3.0,2,4,1,0,0
insq,insq_2228,2308,Novelty,5,2,0.5145247027323308,0.4,0.6,0.0,0.0,1.6,1,2,0,1,1
insq,insq_2228,2308,Relevance,5,2,0.23903595253642695,0.2,0.4,0.4,0.0,2.2,1,3,0,0,1
insq,insq_2228,2308,Scope,5,2,0.31452470275269817,0.2,0.6,0.0,0.2,2.2,1,4,0,0,0
insq,insq_2228,2310,Novelty,5,3,0.639035952515735,0.0,0.0,0.8,0.2,3.2,3,4,1,1,0
insq,insq_2228,2310,Relevance,5,3,0.639035952515735,0.0,0.0,0.8,0.2,3.2,3,4,1,1,0
insq,insq_2228,2310,Scope,5,2,0.31452470275269817,0.0,0.6,0.2,0.2,2.6,2,4,1,0,0
insq,insq_2228,2312,Novelty,5,3,0.5145247027323308,0.0,0.4,0.6,0.0,2.5999999999999996,2,3,1,0,1
insq,insq_2228,2312,Relevance,5,3,0.5145247027323308,0.0,0.0,0.6,0.4,3.4,3,4,1,1,0
insq,insq_2228,2312,Scope,5,4,0.6390359525157349,0.0,0.0,0.2,0.8,3.8000000000000003,3,4,1,1,0
insq,insq_2228,2314,Novelty,5,2,0.23903595253642695,0.2,0.4,0.4,0.0,2.2,1,3,0,0,1
insq,insq_2228,2314,Relevance,5,3,0.6390359525157349,0.0,0.2,0.8,0.0,2.8000000000000003,2,3,1,0,1
insq,insq_2228,2314,Scope,5,2,0.5145247027323308,0.0,0.6,0.4,0.0,2.4000000000000004,2,3,1,0,1
