proxy,spearman_r,spearman_p,pearson_r,pearson_p,n,abs_spearman
tfidf_sum,0.7930208531519193,3.8181780983823734e-124,0.701050152658535,2.6233306175481586e-85,569,0.7930208531519193
content_token_count,0.7909051662573756,4.8953328753366134e-123,0.6969252132365393,6.452280033708691e-84,569,0.7909051662573756
token_count,0.7846585519020075,7.71552603455522e-120,0.6753736156269317,5.098917415017337e-77,569,0.7846585519020075
mem_delta_relv,0.7756388190961812,2.0917475300078918e-115,0.7264327704007482,2.0076009980862992e-94,569,0.7756388190961812
mem_delta,0.7697701142096937,1.2454981246068628e-112,0.7202058411414621,4.291400162104104e-92,569,0.7697701142096937
mem_delta_info,0.7650477665209033,1.857363589046054e-110,0.7123100142129172,3.1428572634051846e-89,569,0.7650477665209033
claim_count,0.7605902570042539,1.8796821442878273e-108,0.7130576178774871,1.6992158183050834e-89,569,0.7605902570042539
mem_delta_novo,0.7554433662676363,3.4309990112528937e-106,0.7026522529993442,7.450325205533273e-86,569,0.7554433662676363
novel_word_count,0.7374335777416557,1.0589689301887151e-98,0.6006287046691525,4.4846679878330045e-57,569,0.7374335777416557
tfidf_max,0.7083641390030304,7.814567608962901e-88,0.6379313550946276,2.4498117313847564e-66,569,0.7083641390030304
mem_delta_triad,0.6256711081063319,3.737004554489182e-63,0.5917783611799623,4.722058667683631e-55,569,0.6256711081063319
mem_delta_imsc,0.6255509012388275,4.0089762942337257e-63,0.5924157824411154,3.392825715359143e-55,569,0.6255509012388275
tfidf_mean,0.5459518023298381,1.627345565891542e-45,0.4977785234810649,5.872731470062278e-37,569,0.5459518023298381
entity_count,0.5084651503553209,9.703627437103324e-39,0.4657097208937704,5.67001035869734e-32,569,0.5084651503553209
novel_entity_count,0.42092115637727134,7.709175279688838e-26,0.4194801018886273,1.173685336550702e-25,569,0.42092115637727134
novel_entity_ratio,0.3627528116169442,3.8814025065124683e-19,0.29845659960953597,3.595291959083839e-13,569,0.3627528116169442
novel_entity_density_token,0.338535195841744,1.0065880295612517e-16,-0.0027304553783716046,0.9481832254661734,569,0.338535195841744
novel_word_density,0.27889184286887697,1.2629961338462268e-11,0.10489566094459704,0.012295103591858661,569,0.27889184286887697
specificity_median_idf,0.2538912845761381,8.052606252266464e-10,0.2466084088845359,2.493025575521909e-09,569,0.2538912845761381
specificity_mean_idf,0.2330026419081672,1.8730338325243557e-08,0.2229099970338086,7.731195527779149e-08,569,0.2330026419081672
cumulative_new_entity_count,0.0338431341312089,0.42039264557135403,0.02165704975769183,0.6061857511634359,569,0.0338431341312089
cumulative_new_lemma_count,0.027622406795836926,0.5108120955409685,0.024304169083864603,0.5628891817179724,569,0.027622406795836926
seen_entity_size_so_far,0.022196427981090158,0.5972438287259615,0.013887704086273298,0.7409762082886835,569,0.022196427981090158
seen_vocab_size_so_far,0.012649253727992185,0.7633532725492784,0.011479475944769387,0.7846725359692399,569,0.012649253727992185
