title,conversation_id,phase,utterance_id,utterance_index,utterance_speaker,role,nontext,utterance_text,segment
Abolish the Death Penalty,4134,0,4134,0,John Donvan,mod,"{'applause': [[0, 26]]}","So, I would at this point like to start things off by please welcoming to the stage the chairman of Intelligence Squared U.S., Mr. Robert Rosenkranz. Hi, Bob. So, Bob, what strikes me about this debate Abolish the Death Penalty, a lot of our debates are very topical. They're about something that's in the news right now, something-- an election season, something, foreign war. In this case Abolish the Death Penalty is sort of one of these timeless eternal topics.",-1
Abolish the Death Penalty,4134,0,4135,1,Robert Rosenkranz,host,{},"Well, it may be timeless, but it seems pretty timely right now in the wake of the Boston Marathon conviction. That's the kind of crime and the kind of heinous crime and with multiple victims and hundreds of collateral damage to all kinds of innocent people that make people think that the death penalty might well be appropriate.",-1
Abolish the Death Penalty,4134,0,4136,2,John Donvan,mod,{},"And this is one of these topics that we can slice into different dimensions, one of them being sort of the policy dimension, the practical side of the death penalty.",-1
Abolish the Death Penalty,4134,0,4137,3,Robert Rosenkranz,host,{},"Well, one of the practical issues with the death penalty is simply that it is just so expensive to actually administer. It's much more expensive than a life imprisonment, because the legal process around the death penalty is just so elaborate. So, you do have-- it's actually a very costly process to actually implement and the question I guess from a policy standpoint is are those costs offset by some benefits, and one of the potential benefits is the idea of deterrence, that the death penalty does deter crime, but that again is very much subject to debate.",-1
Abolish the Death Penalty,4134,0,4138,4,John Donvan,mod,{},And then there is of course a moral dimension. I think it's very visceral for people.,-1
Abolish the Death Penalty,4134,0,4139,5,Robert Rosenkranz,host,{},"Well, there is. I mean, I think there is a sense particularly in the case of the most heinous and gruesome and cruel kinds of crimes that the death penalty is the kind of retribution that a society should seek to express its revulsion at some of these kinds of acts. On the other hand, there's a moral feeling that to take a life knowingly and premeditated and very deliberately is simply the wrong thing to be doing.",-1
Abolish the Death Penalty,4134,0,4140,6,John Donvan,mod,{},And where our debates get interesting is when the moral conflict and the practical conflict kind of cross. We have that in this one.,-1
Abolish the Death Penalty,4134,0,4141,7,Robert Rosenkranz,host,{},"Yeah, I would certainly say we do. I mean, the aspects of it like the potential for error is obviously one, which is-- but the practical reason and a moral reason to question the death penalty, and the other of course is the racial profile of people on death row and whether that reflects something systemically wrong with the system besides its occasional propensity for error.",-1
Abolish the Death Penalty,4134,0,4142,8,John Donvan,mod,{},"Well, as you say, it's very complex and as you point out there is sort of no time when this is not a hot topic. So, let's bring our debaters to the stage and get started and let's thank Robert Rosenkranz.",-1
Abolish the Death Penalty,4134,0,4143,9,Robert Rosenkranz,host,"{'applause': [[0, 3]]}",Great. Thank you.,-1
Abolish the Death Penalty,4134,0,4144,10,John Donvan,mod,"{'applause': [[0, 36], [2, 54]]}","So, this is one of those times when I want to ask you again spontaneously to applaud for launching the podcast and the radio sound, but let's do it by thanking Bob Rosenkranz one more time. Hello. I'm John Donvan. This is Intelligence Squared U.S. And ""an eye for an eye""--That is the reason that Americans cited most often in a credible poll for their support of the death penalty and it seems that six out of 10 of us do support the death penalty, although when ""an eye for an eye"" was quoted in the New Testament the teaching was that sometimes retribution is not really all that it seems to be cracked up to be, and that's a point that 18 states seem to have agreed with by abolishing the death penalty and the District of Columbia. Another 15 have suspended it and that leaves 17 states and the question is should they follow suit or should they stand by tradition and by their sense of what they see as justice. Well, that sounds like the makings of a debate. So, let's have it. Yes or no to this statement: Abolish the Death Penalty, a debate from Intelligence Squared U.S. I'm John Donvan. We are at the Kaufman Music Center. We have four superbly qualified debaters on stage who will be arguing, two against two, for and against this motion: Abolish the Death Penalty. As always, our debate will go in three rounds. And then our live audience here in New York City votes to pick the winner. And only one side wins. The motion, again, ""Abolish the Death Penalty."" Let's meet the team arguing for the motion, the team that wants to abolish. Please welcome Diann Rust-Tierney. Diann, you are the executive director of the National Coalition to Abolish the Death Penalty. You have spent many years fighting this-- fighting the death penalty, back when you were working for the ACLU, back to the '90s. And as we pointed out, a majority of Americans still do support the death penalty, but the trend is definitely downward. So, what has changed over time?",-1
Abolish the Death Penalty,4134,0,4145,11,Diann Rust-Tierney,for,{},"Well, I'd like to think I've gotten better at my job and have done a better job of getting the public to focus on the right questions.",-1
Abolish the Death Penalty,4134,0,4146,12,John Donvan,mod,"{'applause': [[0, 18]]}","And we'll be going to some of those questions tonight. Ladies and gentlemen, please welcome, again, Diann Rust-Tierney. And Diann tell us who your partner is?",-1
Abolish the Death Penalty,4134,0,4147,13,Diann Rust-Tierney,for,{},My debate partner is the wonderful and absolutely brilliant Barry Scheck.,-1
Abolish the Death Penalty,4134,0,4148,14,John Donvan,mod,"{'applause': [[0, 5]]}","Ladies and gentlemen, Barry Scheck. Barry, you are a professor at the Cardozo School of Law, co-director of the Innocence Project. Well-known to television viewers by playing yourself on ""The Good Wife."" You founded the Innocence Project back in 1992. How many post-conviction DNA exonerations have there been since the project began?",-1
Abolish the Death Penalty,4134,0,4149,15,Barry Scheck,for,{},"There are 362 post-conviction DNA exonerations. 19 people off death row. Many, many people that were convicted of murder in non-capital eligible states.",-1
Abolish the Death Penalty,4134,0,4150,16,John Donvan,mod,{},All right. And I'm assuming we're going to be hearing more about that in your argument.,-1
Abolish the Death Penalty,4134,0,4151,17,Barry Scheck,for,{},Yes.,-1
Abolish the Death Penalty,4134,0,4152,18,John Donvan,mod,"{'applause': [[0, 13], [2, 28]]}","Let's again welcome the team arguing for the motion: Abolish the Death Penalty. And we have two debaters arguing against the motion. Again, to be clear, they are against abolishing the death penalty. So, you figured out the double negative there. It's pretty clear. First, let's please welcome Robert Blecker. Robert, you're a professor at New York Law School. You spent 12 years talking to prisoners inside Lorton Central Prison. Another decade visiting death row prisoners. You put all this together in a book called ""The Death of Punishment."" And in it, you show that although you are a leading advocate of the death penalty, you have a surprising amount of empathy for some of the prisoners you met. I'm wondering, does that-- did that experience, in any way, soften your commitment to the death penalty?",-1
