corpus,conversation_id,segment_id,task_id,base_task_id,utterance_id,utterance_index,role,aspect,label_value,label_source,source_id,model,context_type,label_kind,n_raters,y_cont,w_conf,lo,hi,p1,p2,p3,p4,skipped,context_source
fora,fora_2409,3,fora_2409_3_info,fora_2409_3,EGI_Conversations_196_2409_22,21,participant,CIG,1,human_individual,annotator_073,,info,raw_rating,,,,,,,,,,False,annotation_release_task
fora,fora_2409,3,fora_2409_3_info,fora_2409_3,EGI_Conversations_196_2409_23,22,participant,CIG,1,human_individual,annotator_073,,info,raw_rating,,,,,,,,,,False,annotation_release_task
fora,fora_2409,3,fora_2409_3_info,fora_2409_3,EGI_Conversations_196_2409_25,24,participant,CIG,4,human_individual,annotator_073,,info,raw_rating,,,,,,,,,,False,annotation_release_task
fora,fora_2409,3,fora_2409_3_info,fora_2409_3,EGI_Conversations_196_2409_27,26,participant,CIG,3,human_individual,annotator_073,,info,raw_rating,,,,,,,,,,False,annotation_release_task
fora,fora_2409,3,fora_2409_3_info,fora_2409_3,EGI_Conversations_196_2409_29,28,participant,CIG,4,human_individual,annotator_073,,info,raw_rating,,,,,,,,,,False,annotation_release_task
fora,fora_2409,3,fora_2409_3_info,fora_2409_3,EGI_Conversations_196_2409_30,29,participant,CIG,4,human_individual,annotator_073,,info,raw_rating,,,,,,,,,,False,annotation_release_task
fora,fora_2409,5,fora_2409_5_info,fora_2409_5,EGI_Conversations_196_2409_36,35,participant,CIG,4,human_individual,annotator_073,,info,raw_rating,,,,,,,,,,False,annotation_release_task
fora,fora_2409,5,fora_2409_5_info,fora_2409_5,EGI_Conversations_196_2409_38,37,participant,CIG,4,human_individual,annotator_073,,info,raw_rating,,,,,,,,,,False,annotation_release_task
fora,fora_2409,5,fora_2409_5_info,fora_2409_5,EGI_Conversations_196_2409_40,39,participant,CIG,1,human_individual,annotator_073,,info,raw_rating,,,,,,,,,,False,annotation_release_task
fora,fora_2409,6,fora_2409_6_info,fora_2409_6,EGI_Conversations_196_2409_41,40,participant,CIG,4,human_individual,annotator_073,,info,raw_rating,,,,,,,,,,False,annotation_release_task
fora,fora_2409,6,fora_2409_6_info,fora_2409_6,EGI_Conversations_196_2409_43,42,participant,CIG,4,human_individual,annotator_073,,info,raw_rating,,,,,,,,,,False,annotation_release_task
fora,fora_2409,6,fora_2409_6_info,fora_2409_6,EGI_Conversations_196_2409_45,44,participant,CIG,3,human_individual,annotator_073,,info,raw_rating,,,,,,,,,,False,annotation_release_task
fora,fora_2409,6,fora_2409_6_info,fora_2409_6,EGI_Conversations_196_2409_47,46,participant,CIG,3,human_individual,annotator_073,,info,raw_rating,,,,,,,,,,False,annotation_release_task
fora,fora_2409,3,fora_2409_3_info,fora_2409_3,EGI_Conversations_196_2409_22,21,participant,CIG,1,human_individual,annotator_030,,info,raw_rating,,,,,,,,,,False,annotation_release_task
fora,fora_2409,3,fora_2409_3_info,fora_2409_3,EGI_Conversations_196_2409_23,22,participant,CIG,1,human_individual,annotator_030,,info,raw_rating,,,,,,,,,,False,annotation_release_task
fora,fora_2409,3,fora_2409_3_info,fora_2409_3,EGI_Conversations_196_2409_25,24,participant,CIG,2,human_individual,annotator_030,,info,raw_rating,,,,,,,,,,False,annotation_release_task
fora,fora_2409,3,fora_2409_3_info,fora_2409_3,EGI_Conversations_196_2409_27,26,participant,CIG,3,human_individual,annotator_030,,info,raw_rating,,,,,,,,,,False,annotation_release_task
fora,fora_2409,3,fora_2409_3_info,fora_2409_3,EGI_Conversations_196_2409_29,28,participant,CIG,1,human_individual,annotator_030,,info,raw_rating,,,,,,,,,,False,annotation_release_task
fora,fora_2409,3,fora_2409_3_info,fora_2409_3,EGI_Conversations_196_2409_30,29,participant,CIG,4,human_individual,annotator_030,,info,raw_rating,,,,,,,,,,False,annotation_release_task
fora,fora_2409,7,fora_2409_7_info,fora_2409_7,EGI_Conversations_196_2409_49,48,participant,CIG,3,human_individual,annotator_073,,info,raw_rating,,,,,,,,,,False,annotation_release_task
fora,fora_2409,7,fora_2409_7_info,fora_2409_7,EGI_Conversations_196_2409_51,50,participant,CIG,2,human_individual,annotator_073,,info,raw_rating,,,,,,,,,,False,annotation_release_task
fora,fora_2409,7,fora_2409_7_info,fora_2409_7,EGI_Conversations_196_2409_52,51,participant,CIG,4,human_individual,annotator_073,,info,raw_rating,,,,,,,,,,False,annotation_release_task
fora,fora_2409,5,fora_2409_5_info,fora_2409_5,EGI_Conversations_196_2409_36,35,participant,CIG,2,human_individual,annotator_030,,info,raw_rating,,,,,,,,,,False,annotation_release_task
fora,fora_2409,5,fora_2409_5_info,fora_2409_5,EGI_Conversations_196_2409_38,37,participant,CIG,3,human_individual,annotator_030,,info,raw_rating,,,,,,,,,,False,annotation_release_task
fora,fora_2409,5,fora_2409_5_info,fora_2409_5,EGI_Conversations_196_2409_40,39,participant,CIG,1,human_individual,annotator_030,,info,raw_rating,,,,,,,,,,False,annotation_release_task
fora,fora_2700,1,fora_2700_1_info,fora_2700_1,EGI_Conversations_196_2700_30,29,participant,CIG,4,human_individual,annotator_073,,info,raw_rating,,,,,,,,,,False,annotation_release_task
fora,fora_2700,1,fora_2700_1_info,fora_2700_1,EGI_Conversations_196_2700_31,30,participant,CIG,4,human_individual,annotator_073,,info,raw_rating,,,,,,,,,,False,annotation_release_task
fora,fora_2700,1,fora_2700_1_info,fora_2700_1,EGI_Conversations_196_2700_32,31,participant,CIG,4,human_individual,annotator_073,,info,raw_rating,,,,,,,,,,False,annotation_release_task
fora,fora_2700,1,fora_2700_1_info,fora_2700_1,EGI_Conversations_196_2700_33,32,participant,CIG,3,human_individual,annotator_073,,info,raw_rating,,,,,,,,,,False,annotation_release_task
fora,fora_2700,1,fora_2700_1_info,fora_2700_1,EGI_Conversations_196_2700_35,34,participant,CIG,4,human_individual,annotator_073,,info,raw_rating,,,,,,,,,,False,annotation_release_task
fora,fora_2700,1,fora_2700_1_info,fora_2700_1,EGI_Conversations_196_2700_36,35,participant,CIG,2,human_individual,annotator_073,,info,raw_rating,,,,,,,,,,False,annotation_release_task
fora,fora_2700,1,fora_2700_1_info,fora_2700_1,EGI_Conversations_196_2700_37,36,participant,CIG,3,human_individual,annotator_073,,info,raw_rating,,,,,,,,,,False,annotation_release_task
fora,fora_2700,1,fora_2700_1_info,fora_2700_1,EGI_Conversations_196_2700_38,37,participant,CIG,2,human_individual,annotator_073,,info,raw_rating,,,,,,,,,,False,annotation_release_task
fora,fora_2700,2,fora_2700_2_info,fora_2700_2,EGI_Conversations_196_2700_39,38,participant,CIG,3,human_individual,annotator_073,,info,raw_rating,,,,,,,,,,False,annotation_release_task
fora,fora_2700,2,fora_2700_2_info,fora_2700_2,EGI_Conversations_196_2700_40,39,participant,CIG,4,human_individual,annotator_073,,info,raw_rating,,,,,,,,,,False,annotation_release_task
fora,fora_2700,2,fora_2700_2_info,fora_2700_2,EGI_Conversations_196_2700_41,40,participant,CIG,3,human_individual,annotator_073,,info,raw_rating,,,,,,,,,,False,annotation_release_task
fora,fora_2700,2,fora_2700_2_info,fora_2700_2,EGI_Conversations_196_2700_43,42,participant,CIG,3,human_individual,annotator_073,,info,raw_rating,,,,,,,,,,False,annotation_release_task
fora,fora_2700,2,fora_2700_2_info,fora_2700_2,EGI_Conversations_196_2700_45,44,participant,CIG,2,human_individual,annotator_073,,info,raw_rating,,,,,,,,,,False,annotation_release_task
fora,fora_2700,2,fora_2700_2_info,fora_2700_2,EGI_Conversations_196_2700_46,45,participant,CIG,1,human_individual,annotator_073,,info,raw_rating,,,,,,,,,,False,annotation_release_task
fora,fora_2700,2,fora_2700_2_info,fora_2700_2,EGI_Conversations_196_2700_47,46,participant,CIG,4,human_individual,annotator_073,,info,raw_rating,,,,,,,,,,False,annotation_release_task
